,id,filepath,label
0,100701,ballroom_extended_2016/Chacha/100701.mp3,0
1,100703,ballroom_extended_2016/Chacha/100703.mp3,0
2,100702,ballroom_extended_2016/Chacha/100702.mp3,0
3,100704,ballroom_extended_2016/Chacha/100704.mp3,0
4,100805,ballroom_extended_2016/Chacha/100805.mp3,0
5,100807,ballroom_extended_2016/Chacha/100807.mp3,0
6,100806,ballroom_extended_2016/Chacha/100806.mp3,0
7,100808,ballroom_extended_2016/Chacha/100808.mp3,0
8,101105,ballroom_extended_2016/Chacha/101105.mp3,0
9,101107,ballroom_extended_2016/Chacha/101107.mp3,0
10,101106,ballroom_extended_2016/Chacha/101106.mp3,0
11,101108,ballroom_extended_2016/Chacha/101108.mp3,0
12,101207,ballroom_extended_2016/Chacha/101207.mp3,0
13,101205,ballroom_extended_2016/Chacha/101205.mp3,0
14,101206,ballroom_extended_2016/Chacha/101206.mp3,0
15,101208,ballroom_extended_2016/Chacha/101208.mp3,0
16,103601,ballroom_extended_2016/Chacha/103601.mp3,0
17,103603,ballroom_extended_2016/Chacha/103603.mp3,0
18,103617,ballroom_extended_2016/Chacha/103617.mp3,0
19,103602,ballroom_extended_2016/Chacha/103602.mp3,0
20,103604,ballroom_extended_2016/Chacha/103604.mp3,0
21,104009,ballroom_extended_2016/Chacha/104009.mp3,0
22,104011,ballroom_extended_2016/Chacha/104011.mp3,0
23,104010,ballroom_extended_2016/Chacha/104010.mp3,0
24,104012,ballroom_extended_2016/Chacha/104012.mp3,0
25,105405,ballroom_extended_2016/Chacha/105405.mp3,0
26,105407,ballroom_extended_2016/Chacha/105407.mp3,0
27,105417,ballroom_extended_2016/Chacha/105417.mp3,0
28,105406,ballroom_extended_2016/Chacha/105406.mp3,0
29,106005,ballroom_extended_2016/Chacha/106005.mp3,0
30,106007,ballroom_extended_2016/Chacha/106007.mp3,0
31,106006,ballroom_extended_2016/Chacha/106006.mp3,0
32,106008,ballroom_extended_2016/Chacha/106008.mp3,0
33,106101,ballroom_extended_2016/Chacha/106101.mp3,0
34,106103,ballroom_extended_2016/Chacha/106103.mp3,0
35,106105,ballroom_extended_2016/Chacha/106105.mp3,0
36,106117,ballroom_extended_2016/Chacha/106117.mp3,0
37,106102,ballroom_extended_2016/Chacha/106102.mp3,0
38,106104,ballroom_extended_2016/Chacha/106104.mp3,0
39,106307,ballroom_extended_2016/Chacha/106307.mp3,0
40,106309,ballroom_extended_2016/Chacha/106309.mp3,0
41,106306,ballroom_extended_2016/Chacha/106306.mp3,0
42,106308,ballroom_extended_2016/Chacha/106308.mp3,0
43,106310,ballroom_extended_2016/Chacha/106310.mp3,0
44,106807,ballroom_extended_2016/Chacha/106807.mp3,0
45,106811,ballroom_extended_2016/Chacha/106811.mp3,0
46,106809,ballroom_extended_2016/Chacha/106809.mp3,0
47,106808,ballroom_extended_2016/Chacha/106808.mp3,0
48,106810,ballroom_extended_2016/Chacha/106810.mp3,0
49,107005,ballroom_extended_2016/Chacha/107005.mp3,0
50,107007,ballroom_extended_2016/Chacha/107007.mp3,0
51,107006,ballroom_extended_2016/Chacha/107006.mp3,0
52,107205,ballroom_extended_2016/Chacha/107205.mp3,0
53,107008,ballroom_extended_2016/Chacha/107008.mp3,0
54,107207,ballroom_extended_2016/Chacha/107207.mp3,0
55,107217,ballroom_extended_2016/Chacha/107217.mp3,0
56,107221,ballroom_extended_2016/Chacha/107221.mp3,0
57,107204,ballroom_extended_2016/Chacha/107204.mp3,0
58,107206,ballroom_extended_2016/Chacha/107206.mp3,0
59,107216,ballroom_extended_2016/Chacha/107216.mp3,0
60,107501,ballroom_extended_2016/Chacha/107501.mp3,0
61,107503,ballroom_extended_2016/Chacha/107503.mp3,0
62,107502,ballroom_extended_2016/Chacha/107502.mp3,0
63,107611,ballroom_extended_2016/Chacha/107611.mp3,0
64,107613,ballroom_extended_2016/Chacha/107613.mp3,0
65,107615,ballroom_extended_2016/Chacha/107615.mp3,0
66,107617,ballroom_extended_2016/Chacha/107617.mp3,0
67,107619,ballroom_extended_2016/Chacha/107619.mp3,0
